column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:L-AC4 FD_PH_12HR, AC#4 Feed Ph 12Hrly Dup, 
PPO:L-ACD2_ORP_12HR, AC#2 Disch ORP 12hrly, 
PPO:L-AC4 FD_PH_12HR_SQL, AC#4 Feed Ph 12Hrly Dup, 
PPO:L-ACD2_ORP_12HR_SQL, AC#2 Disch ORP 12hrly, 
PPO:L-AC4 FD_PH_2HR, AC#4 Feed Ph 2Hrly, 
PPO:L-ACD2_ORP_3HR, AC#2 Disch ORP (mV), 
PPO:L-AC4 FD_PH_2HR_SQL, AC#4 Feed Ph 2Hrly, 
PPO:L-ACD2_ORP_3HR_SQL, AC#2 Disch ORP (mV), 
PPO:L-AC4 FD_R_AU_12HR, AC#4 Feed Au 12Hrly Dup, 
PPO:L-ACD2_PH_12HR, AC#2 Disch pH 12hrly, 
PPO:L-AC4 FD_R_AU_12HR_SQL, AC#4 Feed Au 12Hrly Dup, 
PPO:L-ACD2_PH_12HR_SQL, AC#2 Disch pH 12hrly, 
PPO:L-AC4 FD_R_S2_12HR, AC#4 Feed S2 12Hrly Dup, 
PPO:L-ACD2_R_S2_12HR, AC#2 Disch S2 12hrly Dup, 
PPO:L-AC4 FD_R_S2_12HR_SQL, AC#4 Feed S2 12Hrly Dup, 
PPO:L-ACD2_R_S2_12HR_SQL, AC#2 Disch S2 12hrly Dup, 
PPO:L-AC4 FD_R2_AU_12HR, AC#4 Feed Au 12Hrly Dup, 
PPO:L-ACD2_R2_S2_12HR, AC#2 Disch S2 12hrly Dup, 
PPO:L-AC4 FD_R2_S2_12HR, AC#4 Feed S2 12Hrly Dup, 
PPO:L-ACD2_R3_S2_12HR, AC#2 Disch S2 12hrly, 
PPO:L-AC4 FD_R3_AU_12HR, AC#4 Feed Au 12Hrly, 
PPO:L-ACD2_RS_12HR_SQL, AC#2 Disch Reactive Sulphur 12hrly, 
PPO:L-AC4 FD_R3_S2_12HR, AC#4 Feed S2 12Hrly, 
PPO:L-ACD2_RS_3HR_SQL, AC#2 Disch Reactive Sulphur 3hrly, 
PPO:L-AC4 FD_S2_12HR, AC#4 Feed S2 12Hrly, 
PPO:L-ACD2_S2_12HR, AC#2 Disch S2 12hrly, 
PPO:L-AC4 FD_S2_12HR_SQL, AC#4 Feed S2 12Hrly, 
PPO:L-ACD2_S2_12HR_SQL, AC#2 Disch S2 12hrly, 
PPO:L-AC4 FD_S2_2HR, AC#4 Feed S2 2Hrly, 
PPO:L-ACD2_S2_2HR, AC#2 Disch S2 2hrly, 
PPO:L-AC4 FD_S2_2HR_SQL, AC#4 Feed S2 2Hrly, 
PPO:L-ACD2_S2_2HR_SQL, AC#2 Disch S2 2hrly, 
PPO:L-AC4 FD_SOLIDS_12HR, AC#4 Feed %Sol 12Hrly Dup, 
PPO:L-AC4 FD_SOLIDS_12HR_SQL, AC#4 Feed %Sol 12Hrly Dup, 
PPO:L-AC4_S2_2HR, AC#4 Disch S2 2Hrly, 
PPO:L-AC4_S2_2HR_SQL, AC#4 Disch S2 2Hrly, 
PPO:L-ACD3_As_12HR, AC#3 Disch As 12hrly, 
PPO:L-AC4FD_RS_2HR, AC4 Feed Reactive Sulphur 2hrly, 
PPO:L-ACD3_As_12HR_SQL, AC#3 Disch As 12hrly, 
PPO:L-AC4FD_RS_2HR_SQL, AC4 Feed Reactive Sulphur 2hrly, 
PPO:L-ACD3_AU_12HR, AC#3 Disch Au 12hrly, 
PPO:L-ACD4 FD_S2_2HR, AC#4 Feed S2 2Hrly, 
PPO:L-ACD3_AU_12HR_SQL, AC#3 Disch Au 12hrly, 
PPO:L-ACD3_CL_12HR, AC#3 Disch Cl 12hrly, 
PPO:L-ACD3_CL_12HR_SQL, AC#3 Disch Cl 12hrly, 
PPO:L-ACD3_FE2_12HR, AC#3 Disch Fe2 12hrly, 
PPO:L-ACD3_FE2_12HR_SQL, AC#3 Disch Fe2 12hrly, 
PPO:L-ACD3_FE2_2HR, AC#3 Disch Fe3 2hrly, 
PPO:L-ACD3_FE3_12HR, AC#3 Disch Fe3 12hrly, 
PPO:L-ACD3_FE3_12HR_SQL, AC#3 Disch Fe3 12hrly, 
PPO:L-ACD3_FE3_2HR, AC#3 Disch Fe3 2hrly, 
PPO:L-ACD3_H2SO4_12HR, AC#3 Disch H2SO4 12hrly, 
PPO:L-ACD3_H2SO4_12HR_SQL, AC#3 Disch H2SO4 12hrly, 
PPO:L-ACD3_H2SO4_3HR, AC3 disch H2SO4 3Hrly, 
PPO:L-ACD3_H2SO4_3HR_SQL, AC3 disch H2SO4 3Hrly, 
PPO:L-ACD3_ORP_12HR, AC#3 Disch ORP 12hrly, 
PPO:L-ACD3_ORP_12HR_SQL, AC#3 Disch ORP 12hrly, 
PPO:L-ACD3_ORP_3HR, AC#3 Disch ORP (mV), 
PPO:L-ACD3_ORP_3HR_SQL, AC#3 Disch ORP (mV), 
PPO:L-ACD3_PH_12HR, AC#3 Disch pH 12hrly, 
PPO:L-ACD3_PH_12HR_SQL, AC#3 Disch pH 12hrly, 
PPO:L-ACD3_R_S2_12HR, AC#3 Disch S2 12hrly Dup, 
PPO:L-ACD3_R_S2_12HR_SQL, AC#3 Disch S2 12hrly Dup, 
PPO:L-ACD3_R2_S2_12HR, AC#3 Disch S2 12hrly Dup, 
PPO:L-ACD3_R3_S2_12HR, AC#3 Disch S2 12hrly, 
PPO:L-ACD3_RS_12HR_SQL, AC#3 Disch Reactive Sulphur 12hrly, 
PPO:L-ACD3_RS_3HR_SQL, AC#3 Disch Reactive Sulphur 3hrly, 
PPO:L-ACD3_S2_12HR, AC#3 Disch S2 12hrly, 
PPO:L-ACD3_S2_12HR_SQL, AC#3 Disch S2 12hrly, 
PPO:L-ACD3_S2_2HR, AC#3 Disch S2 2hrly, 
PPO:L-ACD3_S2_2HR_SQL, AC#3 Disch S2 2hrly, 
PPO:PV003:AI133, AC#3 Disch ORP, 
PPO:AC2004:ORP_MANUAL, AC2004 ORP MANUAL ENTRY, 
PPO:L-AC4_S2_2HR, AC#4 Disch S2 2Hrly, 
PPO:L-AC4_S2_2HR_SQL, AC#4 Disch S2 2Hrly, 
PPO:L-AC4FD_RS_2HR, AC4 Feed Reactive Sulphur 2hrly, 
PPO:L-AC4FD_RS_2HR_SQL, AC4 Feed Reactive Sulphur 2hrly, 
PPO:L-ACD4 FD_S2_2HR, AC#4 Feed S2 2Hrly, 
PPO:L-ACD4_As_12HR, AC#4 Disch As 12Hrly, 
PPO:L-ACD4_As_12HR_SQL, AC#4 Disch As 12Hrly, 
PPO:L-ACD4_AU_12HR, AC#4 Disch Au 12Hrly, 
PPO:L-ACD4_AU_12HR_SQL, AC#4 Disch Au 12Hrly, 
PPO:L-ACD4_CL_12HR, AC#4 Disch Cl 12Hrly, 
PPO:L-ACD4_CL_12HR_SQL, AC#4 Disch Cl 12Hrly, 
PPO:L-ACD4_FE2_12HR, AC#4 Disch Fe2 12Hrly, 
PPO:L-ACD4_FE2_12HR_SQL, AC#4 Disch Fe2 12Hrly, 
PPO:L-ACD4_FE3_12HR, AC#4 Disch Fe3 12Hrly, 
PPO:L-ACD4_FE3_12HR_SQL, AC#4 Disch Fe3 12Hrly, 
PPO:L-ACD4_H2SO4_12HR, AC#4 Disch H2So4 12Hrly, 
PPO:L-ACD4_H2SO4_12HR_SQL, AC#4 Disch H2So4 12Hrly, 
PPO:L-ACD4_H2SO4_3HR, AC4 disch H2SO4 3Hrly, 
PPO:L-ACD4_H2SO4_3HR_SQL, AC4 disch H2SO4 3Hrly, 
PPO:L-ACD4_ORP_12HR, AC#4 Disch ORP 12hrly, 
PPO:L-ACD4_ORP_12HR_SQL, AC#4 Disch ORP 12hrly, 
PPO:L-ACD4_ORP_3HR, AC#4 Disch ORP (mV), 
PPO:L-ACD4_ORP_3HR_SQL, AC#4 Disch ORP (mV), 
PPO:L-ACD4_PH_12HR, AC#4 Disch Ph 12Hrly, 
PPO:L-ACD4_PH_12HR_SQL, AC#4 Disch Ph 12Hrly, 
PPO:L-ACD4_R_S2_12HR, AC#4 Disch S2 12Hrly Dup, 
PPO:L-ACD4_R_S2_12HR_SQL, AC#4 Disch S2 12Hrly Dup, 
PPO:L-ACD4_R2_S2_12HR, AC#4 Disch S2 12Hrly Dup, 
PPO:L-ACD4_R3_S2_12HR, AC#4 Disch S2 12Hrly, 
PPO:L-ACD4_RS_12HR_SQL, AC#4 Disch Reactive Sulphur 2Hrly, 
PPO:L-ACD4_RS_3HR_SQL, AC#4 Disch Reactive Sulphur 12hrly, 
PPO:L-ACD4_S2_12HR, AC#4 Disch S2 12Hrly, 
PPO:L-ACD4_S2_12HR_SQL, AC#4 Disch S2 12Hrly, 
PPO:L-ACFD4_RS_12HR_SQL, AC#4 Feed Reactive Sulphur 12hrly, 
PPO:PCMAX_AVG, PreOx Working Volume, %
PPO:PU2123:DI7504B, PU2123 FEED PUMP 1 DISCH DENS, %
PPO:PREOX_AV_LVL:PREOX_AVG-PNT, AVERAGE PREOX TANK LEVEL, %
PPO:Autoclave1_Rate_RawFeed-PPMS, PPMS Autoclave 1 Rate (Raw Feed), tph
PPO:PV001:FI123, AC#1 Scrbr Sea_H2O Flow, m3/h
PPO:PU2123:TI2123, PU2123 Discharge Temp, DegC
PPO:PREOX_TNK_AVE, PREOX TNK AVE, %
PPO:L-ACFD_As_12HR, AC Feed As 12hrly, ppm
PPO:Autoclave1_Rate_Target-PPMS, PPMS Autoclave 1 Rate Target, tph
PPO:PV001:FI124, AC#1 Scrbr Sea_H2O Flow, m3/h
PPO:PU2123-DI7504, PU2123 FEED PUMP 1 DISCH DENS, kg/m3
PPO:PU194-STAT, AC Sea_H2O Bstr Pmp1,  
PPO:PV_AVG, PreOx Average Level, %
PPO:L-ACFD_As_12HR_SQL, AC Feed As 12hrly, ppm
PPO:Autoclave1_Util-PPMS, PPMS Autoclave 1 Utilization Trigger,  
PPO:PV001:PIC124-MODE, AC#1 Scrubber Press.,  
PPO:PU2124:DI7503B, PU2124 FEED PUMP 2 DISCH DENS, %
PPO:PU195-STAT, AC Sea_H2O Bstr Pmp2,  
PPO:L-ACFD_AU_12HR, AC Feed Au 12hrly, ppm
PPO:WIC891_TST-PV, AC-1 FEED MASS FLOW, T/h
PPO:PV001:PIC124-OP, AC#1 Scrubber Press., %
PPO:PU2124-DI7503, PU2124 FEED PUMP 2 DISCH DENS, kg/m3
PPO:L-ACFD_AU_12HR_SQL, AC Feed Au 12hrly, ppm
PPO:WY061_TST-ROUT, AC-1 FEED % SOLIDS, %
PPO:PV001:PIC124-PV, AC#1 Scrubber Press., kPag
PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:L-ACFD_CACO3_12HR, AC Feed CaCO3 12hrly, %
PPO:AC001:FI061, AC#1 Slurry Feed Flow, m3/h
PPO:PV001:PIC124-SP, AC#1 Scrubber Press., kPag
PPO:L-TK004_RS_3HR, TK004 Reactive Sulphur 3hrly, %
PPO:L-ACFD_CACO3_12HR_SQL, AC Feed CaCO3 12hrly, %
PPO:AC001:FI065, AC#1 Vent Flow, m3/h
PPO:TK2239:LIC7500-MODE, TK2239 LEVEL CONTROL MODE,  
PPO:PV028:FI073, AC O2_Supply Flow, t/h
PPO:L-TK004_RS_3HR_SQL, TK004 Reactive Sulphur 3hrly, %
PPO:L-ACFD_CACO3_2HR, AC Feed CaCO3 2hrly, %
PPO:T-PU801:WY891D, AC#1 Total Mass Flow, tonnes
PPO:PV001:TIC122-MODE, AC#1 Exit_Duct Temp.,  
PPO:TK2239:LIC7500-OP, TK2239 LEVEL CONTROL OUTPUT, %
PPO:PV028:PI073, AC O2_Supply Press., kPag
PPO:L-TK004_S2_Grab, TK004 Sulphur Assay, %
PPO:L-ACFD_CACO3_2HR_SQL, AC Feed CaCO3 2hrly, %
PPO:AC1_Control_Mode, AC 1 Automation Percentage, %
PPO:PV001:TIC122-OP, AC#1 Exit_Duct Temp., m3/hr
PPO:TK2239:LIC7500-PV, TK2239 LEVEL CONTROL INPUT, %
PPO:PV028:TI073, AC O2_Supply Temp., DegC
PPO:PU030-STAT, PREOX Pmp1,  
PPO:L-ACFD_CL_12HR, AC Feed Cl 12hrly, ppm
PPO:PV001:TIC122-PV, AC#1 Exit_Duct Temp., DegC
PPO:TK2239:LIC7500-SP, TK2239 LEVEL CONTROL SETPOINT, %
PPO:PV028:VI073, AC O2_Supply Velocity, m/s
PPO:AG004-STAT, PREOX Tk4 Agit., 
PPO:L-ACFD_CL_12HR_SQL, AC Feed Cl 12hrly, ppm
PPO:PV001:TIC122-SP, AC#1 Exit_Duct Temp., DegC
PPO:TK2239-LI7506, TK2239 RADAR LIT 2, %
PPO:PV028:WI073, AC O2_Supply Mass Flow, kg/h
PPO:AG004-AMPS, PREOX Tk4 Agit. Amps, Amps
PPO:L-ACFD_FE_12HR, AC Feed Fe 12hrly, %
PPO:Tk2240:LI7501, TK2240 Ultrasonic Level Measurement, %
PPO:PV2028-PI6720, O2 SUPPLY TO PV2028 FLOW, kPag
PPO:TK004:LI042, PREOX TK04 Level, %
PPO:L-ACFD_FE_12HR_SQL, AC Feed Fe 12hrly, %
PPO:PV001:FIC123-MODE, AC1 Exit Duct SW Flow Controller,  
PPO:TK2240:LIC7501-MODE, TK2240 LEVEL CONTROL MODE,  
PPO:L-ACFD_PH_12HR, AC Feed pH 12hrly, pH
PPO:PV001:FIC123-OP, AC1 Exit Duct SW Flow Controller, %
PPO:TK2240:LIC7501-OP, TK2240 LEVEL CONTROL OUTPUT, %
PPO:GOX_PIPELINE:FIT6604, GOX TO PIPELINE, t/day
PPO:L-TK005_RS_12HR_SQL, TK005 Reactive Sulphur 12hrly, %
PPO:L-ACFD_PH_12HR_SQL, AC Feed pH 12hrly, pH
PPO:AC001:HV122A_PV, AC#1 Slurry DsChg Vlv 1a Open/Close Position InDi, %
PPO:PV001:FIC123-PV, AC1 Exit Duct SW Flow Controller, m3/h
PPO:TK2240:LIC7501-PV, TK2240 LEVEL CONTROL INPUT, %
PPO:L-TK005_RS_3HR, TK005 Reactive Sulphur 3hrly, %
PPO:L-ACFD_PH_2HR, AC Feed pH 2hrly, pH
PPO:AC001:HV122A_SV, AC#1 Slurry DsChg Vlv 1a Open/Close Differential Pres, psi
PPO:PV001:FIC123-SP, AC1 Exit Duct SW Flow Controller, m3/h
PPO:TK2240:LIC7501-SP, TK2240 LEVEL CONTROL SETPOINT, %
PPO:L-TK005_RS_3HR_SQL, TK005 Reactive Sulphur 3hrly, %
PPO:L-ACFD_PH_2HR_SQL, AC Feed pH 2hrly, pH
PPO:AC001:HV122A_ZI, AC#1 Slurry DsChg Vlv 1a Open/Close Position FdBk, %
PPO:TK2240-LI7507, TK2240 RADAR LIT 2, %
PPO:L-TK005_S2_Grab, TK005 Sulphur Assay, %
PPO:L-ACFD_R_AU_12HR, AC Feed Au 12hrly Dup, ppm
PPO:AC001:HV122B_PV, AC#1 Slurry DsChg Vlv 1b Open/Close Position InDi, %
PPO:PU031-SPD, PREOX Pmp2 Speed, %
PPO:L-ACFD_R_AU_12HR_SQL, AC Feed Au 12hrly Dup, ppm
PPO:AC001:HV122B_SV, AC#1 Slurry DsChg Vlv 1b Open/Close Differential Pres, psi
PPO:PU031-STAT, PREOX Pmp2,  
PPO:L-ACFD_R_S2_12HR, AC Feed S2 12hrly Dup, %
PPO:AC001:HV122B_ZI, AC#1 Slurry DsChg Vlv 1b Open/Close Position FdBk, %
PPO:PU030-AMPS, PREOX Pmp1 Amps, Amps
PPO:L-ACFD_R_S2_12HR_SQL, AC Feed S2 12hrly Dup, %
PPO:AG005-STAT, PREOX Tk5 Agit., 
PPO:L-ACFD_R2_AU_12HR, AC Feed Au 12hrly, ppm
PPO:AC001:HV331A, AC#1 SLURRY FEED Vlv 1a,  
PPO:TK012:FI158, AC Total Quench Flow, m3/h
PPO:AG005-AMPS, PREOX Tk5 Agit. Amps, Amps
PPO:L-ACFD_R2_S2_12HR, AC Feed S2 12hrly Dup, %
PPO:AC001:HV331A_PV, AC#1 Slurry Fd Vlv 1a Open/Close Position InDi, %
PPO:TK012:LIC158A-MODE, AC Quench Tank Level,  
PPO:TK005:LI043, PREOX TK05 Level, %
PPO:L-ACFD_R3_AU_12HR, AC Feed Au 12hrly Dup, ppm
PPO:AC001:HV331A_SV, AC#1 Slurry Fd Vlv 1a Open/Close Differential Pres, psi
PPO:TK012:LIC158A-OP, AC Quench Tank Level, %
PPO:L-ACFD_R3_S2_12HR, AC Feed S2 12hrly, %
PPO:AC001:HV331A_ZI, AC#1 Slurry Fd Vlv 1a Open/Close Position FdBk, %
PPO:TK012:LIC158A-PV, AC Quench Tank Level, %
PPO:L-TK006_RS_12HR_SQL, TK006 Reactive Sulphur 12hrly, %
PPO:L-ACFD_RS_12HR_SQL, AC Feed Reactive Sulphur 12hrly, %
PPO:AC001:HV331B, AC#1 PU801 Slurry Fd Valve,  
PPO:TK012:LIC158A-SP, AC Quench Tank Level, %
PPO:L-TK006_RS_3HR, TK006 Reactive Sulphur 3hrly, %
PPO:L-ACFD_RS_2HR, AC Feed Reactive Sulphur 2hrly, %
PPO:AC001:HV331B_PV, AC#1 Slurry Fd Vlv 1b Open/Close Position InDi, %
PPO:TK123:FI334, AC Quench Flow, m3/h
PPO:L-TK006_RS_3HR_SQL, TK006 Reactive Sulphur 3hrly, %
